1121842620467154946,why participate in a treaty that neglects the rights of americans threatens our defense industrial base and treats our arms transfers as equal w/ those of totalitarian regimes real donald trump is right to withdraw from the u.n. arms trade treaty,"Why participate in a treaty that neglects the rights of Americans, threatens our defense industrial base, and treats our arms transfers as equal w/ those of totalitarian regimes?  @realDonaldTrump is right to withdraw from the U.N. Arms Trade Treaty!

https://t.co/iyCWR6kuwe",-0.0785714285714286,0.5214285714285715,
1121813710081753088,the economy continues its strong growth defying eectations with growth in q1 in order to sustain this momentum we must continue to cut red tape keep taxes low and give the economy room to grow to add jobs and to lift wages for all americans,"The economy continues its strong growth, defying expectations with 3.2% growth in Q1. In order to sustain this momentum, we must continue to cut red tape, keep taxes low, and give the economy room to grow, to add jobs, and to lift wages for all Americans. https://t.co/ta1Jtb7ieN",0.14444444444444443,0.3444444444444444,
1121813646659784704,our economy is roaring with millions of available jobs middle-class income at an all-time high and the poverty rate at the lowest level in years it was just announced that we hit gdp growth in the first quarter of let us keep rolling,"Our economy is roaring with millions of available jobs, middle-class income at an all-time high and the poverty rate at the lowest level in years. It was just announced that we hit 3.2% GDP growth in the first quarter of 2019. Let's keep rolling! https://t.co/21q2GcxfPD",0.27,0.4244444444444444,
1121813584684683267,our economy continues to boom because of our pro-growth policies like taxreform and lifting the regulatory burden,Our economy continues to boom because of our pro-growth policies like #taxreform &amp; lifting the regulatory burden. https://t.co/plRu4zQN89,0.0,0.0,taxreform
1121786370303852545,wages rising economy soaring all thanks to the low-tax pro-middle class policies of house gop and real donald trump let us keep it going,"Wages rising, economy soaring, all thanks to the low-tax, pro-middle class policies of @HouseGOP and @realDonaldTrump. Let’s keep it going! https://t.co/NK0PctDTqn",0.2,0.25,
1121778752764227584,republicans worked with real donald trump to set american industries free from burdensome washington regulations and cut taxes for families and small businesses yet democrats are trying to reverse all of this success with radical government spending programs and outrageous taxes,Republicans worked with @realDonaldTrump to set American industries free from burdensome Washington regulations &amp; cut taxes for families and small businesses. Yet Democrats are trying to reverse all of this success with radical government spending programs &amp; outrageous taxes. https://t.co/xMHsld7kiF,-0.05833333333333331,0.4166666666666667,
1121776523122499584,this is great news for american workers our economy is on a roll,This is great news for American workers. Our economy is on a roll! https://t.co/QJwtip1met,0.4,0.375,
1121776504571088896,the growth we saw in the first quarter of proves what we already know in nc10 and all across the country our economy is booming,The 3.2% growth we saw in the first quarter of 2019 proves what we already know: in #NC10 and all across the country our economy is booming. https://t.co/ru3dNMgDzg,0.275,0.16666666666666666,NC10
1121771138235944960,"great news for fl15 and our country the tax cuts and jobs act works economy grows by in the first quarter of florida added ,700+ jobs over last months unemployment nationwide nears all-time low american disposable income","Great news for #FL15 and our Country! The #TaxCutsAndJobsAct works:
✅ Economy grows by 3.2% in the first quarter of 19'
✅ Florida added 209,700+ jobs over last 12 months 
✅ Unemployment nationwide nears all-time low 📉
✅ American's disposable income ⬆
https://t.co/gELc8wCLls",0.21000000000000002,0.29,"FL15, TaxCutsAndJobsAct"
1121768896657338369,great news for all americans wsj u.s. economy grew at rate in first quarter more jobs more erts more prosperity,"Great news for all Americans!
@WSJ: U.S. Economy Grew at 3.2% Rate in First Quarter
✅more jobs
✅more exports
✅more prosperity 

https://t.co/YUOvSCbQVY",0.51,0.5166666666666666,
